pokedex_number,name,generation,status,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,1,Normal,2,Grass,Poison,318,45,49,49,65,65,45,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,Ivysaur,1,Normal,2,Grass,Poison,405,60,62,63,80,80,60,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Venusaur,1,Normal,2,Grass,Poison,525,80,82,83,100,100,80,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,Mega Venusaur,6,Normal,2,Grass,Poison,625,80,100,123,122,120,80,45,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,Charmander,1,Normal,1,Fire,,309,39,52,43,60,50,65,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,Charmeleon,1,Normal,1,Fire,,405,58,64,58,80,65,80,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,Charizard,1,Normal,2,Fire,Flying,534,78,84,78,109,85,100,45,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
6,Mega Charizard X,6,Normal,2,Fire,Dragon,634,78,130,111,130,85,100,45,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
6,Mega Charizard Y,6,Normal,2,Fire,Flying,634,78,104,78,159,115,100,45,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,Squirtle,1,Normal,1,Water,,314,44,48,65,50,64,43,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
8,Wartortle,1,Normal,1,Water,,405,59,63,80,65,80,58,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Blastoise,1,Normal,1,Water,,530,79,83,100,85,105,78,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
9,Mega Blastoise,6,Normal,1,Water,,630,79,103,120,135,115,78,45,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,Caterpie,1,Normal,1,Bug,,195,45,30,35,20,20,45,255,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
11,Metapod,1,Normal,1,Bug,,205,50,20,55,25,25,30,120,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
12,Butterfree,1,Normal,2,Bug,Flying,395,60,45,50,90,80,70,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
13,Weedle,1,Normal,2,Bug,Poison,195,40,35,30,20,20,50,255,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
14,Kakuna,1,Normal,2,Bug,Poison,205,45,25,50,25,25,35,120,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Beedrill,1,Normal,2,Bug,Poison,395,65,90,40,45,80,75,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
15,Mega Beedrill,6,Normal,2,Bug,Poison,495,65,150,40,15,80,145,45,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
16,Pidgey,1,Normal,2,Normal,Flying,251,40,45,40,35,35,56,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
17,Pidgeotto,1,Normal,2,Normal,Flying,349,63,60,55,50,50,71,120,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Pidgeot,1,Normal,2,Normal,Flying,479,83,80,75,70,70,101,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
18,Mega Pidgeot,6,Normal,2,Normal,Flying,579,83,80,80,135,80,121,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
19,Rattata,1,Normal,1,Normal,,253,30,56,35,25,35,72,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
19,Alolan Rattata,7,Normal,2,Dark,Normal,253,30,56,35,25,35,72,255,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
20,Raticate,1,Normal,1,Normal,,413,55,81,60,50,70,97,127,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
20,Alolan Raticate,7,Normal,2,Dark,Normal,413,75,71,70,40,80,77,127,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
21,Spearow,1,Normal,2,Normal,Flying,262,40,60,30,31,31,70,255,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,Fearow,1,Normal,2,Normal,Flying,442,65,90,65,61,61,100,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,Ekans,1,Normal,1,Poison,,288,35,60,44,40,54,55,255,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
24,Arbok,1,Normal,1,Poison,,448,60,95,69,65,79,80,90,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
25,Pikachu,1,Normal,1,Electric,,320,35,55,40,50,50,90,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
